(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(-0.001247107982635498, -0.05655136704444885, -0.004804704200916027)
(-0.0009738802909851074, -0.05664247274398804, 0.012312375078006144)
(-0.004617273807525635, -0.106556236743927, 0.01572166234030306)
(-0.006880462169647217, -0.1524185836315155, 0.023336776673372195)
(-0.010301053524017334, -0.1471330225467682, 0.032592292380041354)
(-0.011177003383636475, -0.14957910776138306, 0.03518312883852773)
(-0.009949803352355957, -0.14886900782585144, 0.035535690075998355)
(-0.004745900630950928, -0.1513296365737915, 0.03247795549527924)
(7.75456428527832e-05, -0.15371331572532654, 0.03214054170642769)
(0.0028052330017089844, -0.15357321500778198, 0.030162784076223137)
(0.0038092732429504395, -0.1550879180431366, 0.0307880513789712)
(0.0034252405166625977, -0.1550094485282898, 0.029243325817975924)
(0.003603219985961914, -0.15267732739448547, 0.02836045815228283)
(0.00365447998046875, -0.15194597840309143, 0.0289146003468633)
(0.0029577016830444336, -0.15117016434669495, 0.0291518055932381)
(0.0034881234169006348, -0.15124765038490295, 0.028838612065733182)
(0.0047463178634643555, -0.15223079919815063, 0.028289402482878007)
(0.005876302719116211, -0.15238770842552185, 0.02940038011673038)
(0.0071007609367370605, -0.15298932790756226, 0.030792975211957813)
(0.006264448165893555, -0.15487343072891235, 0.03246504733007047)
(0.005714058876037598, -0.15520110726356506, 0.033100218321857305)
(0.004640400409698486, -0.15426105260849, 0.03337756192941524)
(0.0036538243293762207, -0.15403759479522705, 0.03396324207922949)
(0.0034920573234558105, -0.15486657619476318, 0.03456896711849369)
(0.002836167812347412, -0.15442314743995667, 0.03388778022284633)
(0.002771914005279541, -0.15322241187095642, 0.033808771759366446)
(0.00268632173538208, -0.15402430295944214, 0.033693084479522906)
(0.0032888054847717285, -0.15438511967658997, 0.03362028936577935)
(0.003832578659057617, -0.15486663579940796, 0.03343501668281704)
(0.00467073917388916, -0.15702959895133972, 0.03311455365269661)
(0.004704117774963379, -0.1572599709033966, 0.03313598936616824)
(0.004736125469207764, -0.15745556354522705, 0.03337645939485151)
(0.005123436450958252, -0.1570584774017334, 0.03345207960460131)
(0.005501389503479004, -0.15747570991516113, 0.03487717539110172)
(0.005517363548278809, -0.15767723321914673, 0.03472840859197607)
(0.00584644079208374, -0.156987726688385, 0.035264587457447455)
(0.005482494831085205, -0.1570276916027069, 0.035233713456525595)
(0.005311012268066406, -0.15605413913726807, 0.03566518064666299)
(0.00486910343170166, -0.15580734610557556, 0.03610327606090655)
(0.00453561544418335, -0.15557757019996643, 0.03679939616089484)
(0.004609227180480957, -0.15537089109420776, 0.03742979119910514)
(0.004606962203979492, -0.15520384907722473, 0.0365734994903901)
(0.005179405212402344, -0.1548198163509369, 0.03518400340224331)
(0.006479084491729736, -0.1555667221546173, 0.03494060652068165)
(0.007133305072784424, -0.15577095746994019, 0.03483133381477174)
(0.007936060428619385, -0.15749630331993103, 0.03390127043667146)
(0.008589863777160645, -0.15883249044418335, 0.03385512724684758)
(0.010156869888305664, -0.16166061162948608, 0.03320126960440434)
(0.011278629302978516, -0.16229113936424255, 0.03558709383707484)
(0.010306000709533691, -0.16297492384910583, 0.0349301431222645)
(0.011286735534667969, -0.1633446216583252, 0.034687992602511264)
(0.011406660079956055, -0.1631525754928589, 0.03422137138739609)
(0.01150435209274292, -0.16343563795089722, 0.034516879600939104)
(0.010902822017669678, -0.16408857703208923, 0.03497037863210187)
(0.009528696537017822, -0.16394782066345215, 0.03565740458974645)
(0.008233308792114258, -0.1649269461631775, 0.03632351813061313)
(0.0062010884284973145, -0.16462662816047668, 0.036634442085241664)
(0.0036894679069519043, -0.16166812181472778, 0.03727122480993003)
(-0.002574443817138672, -0.16273397207260132, 0.03794905552169653)
(-0.007387399673461914, -0.1617734134197235, 0.03744620779681171)
(-0.017209947109222412, -0.15025311708450317, 0.03025616124137867)
(-0.033814042806625366, -0.14391636848449707, 0.024163475882017532)
(-0.06308439373970032, -0.13482216000556946, 0.022058009891069014)
(-0.08850771188735962, -0.11752241849899292, 0.027994964796141247)
(-0.11634090542793274, -0.07562205195426941, 0.026001739999841483)
(-0.14976248145103455, -0.06747192144393921, 0.019190652132827946)
(-0.19120267033576965, -0.03563284873962402, 0.01922853100546215)
(-0.20804989337921143, -0.026363134384155273, 0.019348241444647585)
(-0.21015793085098267, -0.03794437646865845, 0.020838315723818723)
(-0.20398563146591187, -0.07306316494941711, 0.018697312309768316)
(-0.19411513209342957, -0.11739054322242737, 0.024365136600933396)
(-0.1877405047416687, -0.1555684208869934, 0.02979656935102462)
(-0.18103593587875366, -0.1923046112060547, 0.037230537204785946)
(-0.18452319502830505, -0.22490110993385315, 0.04656482741870821)
(-0.19547218084335327, -0.24610501527786255, 0.05179515512932148)
(-0.2072799801826477, -0.25842228531837463, 0.04860735906246433)
(-0.22490733861923218, -0.251591295003891, 0.04750304573407918)
(-0.23879754543304443, -0.24258720874786377, 0.05151575738412292)
(-0.2550559937953949, -0.22556310892105103, 0.05161167035222519)
(-0.2841429263353348, -0.19652807712554932, 0.055939135485559066)
(-0.2823724299669266, -0.20062127709388733, 0.05752431914569697)
(-0.3039603978395462, -0.1417190432548523, 0.053541704349721525)
(-0.32777391374111176, -0.1045336127281189, 0.05043577503555374)
(-0.3491794317960739, -0.06462022662162781, 0.04903934486551095)
(-0.3593006581068039, -0.009797751903533936, 0.059364418833530996)
(-0.37226274609565735, 0.010262727737426758, 0.057371228288636084)
(-0.37644556164741516, 0.04865288734436035, 0.05010622422623562)
(-0.36962541937828064, 0.08382242918014526, 0.0500995650475739)
(-0.357049822807312, 0.11710304021835327, 0.044899129309522834)
(-0.3564600646495819, 0.11581653356552124, 0.03745617972242948)
(-0.343468114733696, 0.1488359570503235, 0.035183531390628214)
(-0.311229944229126, 0.18208390474319458, 0.03519735206373992)
(-0.2912793308496475, 0.20298415422439575, 0.03862111851686362)
(-0.2450459897518158, 0.22706156969070435, 0.04353753985989753)
(-0.24092993140220642, 0.2320135235786438, 0.035893096016294895)
(-0.16965001821517944, 0.19605427980422974, 0.05082120617736674)
(-0.12480023503303528, 0.23130637407302856, 0.04714582731190928)
(-0.03876015543937683, 0.1715722680091858, 0.0313631551654045)
(-0.02653789520263672, 0.1595572829246521, 0.0339138688912462)
(0.019480526447296143, 0.12066924571990967, 0.018012108070956018)
(0.07157117128372192, 0.0363008975982666, -0.002542272391786976)
(0.12536382675170898, -0.05218049883842468, -0.006010250296258707)
(0.16983014345169067, -0.12574559450149536, -0.0025271293068562517)
(0.16924208402633667, -0.12568503618240356, 0.0033302621569125113)
(0.2046518325805664, -0.1828177571296692, 0.01093605732638639)
(0.22802305221557617, -0.2221822440624237, 0.013994190502541137)
(0.23555493354797363, -0.25466638803482056, 0.02215702183177673)
(0.23745697736740112, -0.25571513175964355, 0.023776817087981544)
(0.23235934972763062, -0.2714014947414398, 0.027199210346947222)
(0.22395777702331543, -0.27528713643550873, 0.03161809336791979)
(0.21466654539108276, -0.2750195264816284, 0.03350426460205838)
(0.20780056715011597, -0.2740379869937897, 0.036087151865781486)
(0.20895206928253174, -0.275861531496048, 0.036185398761389514)
(0.2056758999824524, -0.2787475138902664, 0.034443547222907295)
(0.1948888897895813, -0.2800168991088867, 0.03147527753725471)
(0.16449159383773804, -0.2784316688776016, 0.028622659312243337)
(0.1662083864212036, -0.27772094309329987, 0.027541807600514973)
